state,hasc,adm0_a3,_id,type,fips,capital,iso_a2,name,lng,lat
VT,US.VT.WS,USA,USA-VT-50027,County,50027,Woodstock,US,"Windsor, Vermont",-72.54542441416618,43.595883
VA,US.VA.BH,USA,USA-VA-51027,County,51027,Grundy,US,"Buchanan, Virginia",-82.06210158843217,37.2905668394376
VA,US.VA.ES,USA,USA-VA-51057,County,51057,Tappahannock,US,"Essex, Virginia",-76.96593987372694,37.9408565
VA,US.VA.MI,USA,USA-VA-51119,County,51119,Saluda,US,"Middlesex, Virginia",-76.63129225102114,37.637487
VA,US.VA.PG,USA,USA-VA-51149,County,51149,Prince George,US,"Prince George, Virginia",-77.26047681315939,37.141442
WA,US.WA.TH,USA,USA-WA-53067,County,53067,Olympia,US,"Thurston, Washington",-122.89574277165929,46.974521499999994
WV,US.WV.WY,USA,USA-WV-54109,County,54109,Pineville,US,"Wyoming, West Virginia",-81.57052755034142,37.604659
AR,US.AR.HE,USA,USA-AR-05057,County,05057,Hope,US,"Hempstead, Arkansas",-93.71430504489584,33.743784000000005
CA,US.CA.SA,USA,USA-CA-06071,County,06071,San Bernardino,US,"San Bernardino, California",-116.12136848299059,34.854281
DE,US.DE.NE,USA,USA-DE-10003,County,10003,Wilmington,US,"New Castle, Delaware",-75.68157366645661,39.576080000000005
OR,US.OR.BE,USA,USA-OR-41003,County,41003,Corvallis,US,"Benton, Oregon",-123.40759292273788,44.494864500000006
PA,US.PA.FR,USA,USA-PA-42055,County,42055,Chambersburg,US,"Franklin, Pennsylvania",-77.70649849337856,40.004281
RI,US.RI.PR,USA,USA-RI-44007,County,44007,Providence,US,"Providence, Rhode Island",-71.56542581974315,41.8777495
SC,US.SC.DA,USA,USA-SC-45031,County,45031,Darlington,US,"Darlington, South Carolina",-79.911479350202,34.310594
SC,US.SC.MC,USA,USA-SC-45065,County,45065,McCormick,US,"McCormick, South Carolina",-82.25026983411111,33.8476785
TN,US.TN.GL,USA,USA-TN-47055,County,47055,Pulaski,US,"Giles, Tennessee",-87.02297411477652,35.22310950000001
TN,US.TN.MS,USA,USA-TN-47117,County,47117,Lewisburg,US,"Marshall, Tennessee",-86.78285831991596,35.478926
TN,US.TN.RB,USA,USA-TN-47147,County,47147,Springfield,US,"Robertson, Tennessee",-86.87996565865978,36.501999
TX,US.TX.AU,USA,USA-TX-48015,County,48015,Bellville,US,"Austin, Texas",-96.27323356430479,29.850009999999997
TX,US.TX.BS,USA,USA-TX-48043,County,48043,Alpine,US,"Brewster, Texas",-103.0837341633511,29.817679
TX,US.TX.CH,USA,USA-TX-48071,County,48071,Anahuac,US,"Chambers, Texas",-94.52329156374067,29.709775
TX,US.TX.GC,USA,USA-TX-48173,County,48173,Garden City,US,"Glasscock, Texas",-101.52080582703732,31.869122
TX,US.TX.LR,USA,USA-TX-48277,County,48277,Paris,US,"Lamar, Texas",-95.58295394319197,33.6616955
TX,US.TX.LI,USA,USA-TX-48301,County,48301,Mentone,US,"Loving, Texas",-103.56799778160769,31.810563000000002
TX,US.TX.RV,USA,USA-TX-48387,County,48387,Clarksville,US,"Red River, Texas",-95.02783763449447,33.5505470322857
KY,US.KY.RC,USA,USA-KY-21203,County,21203,Mount Vernon,US,"Rockcastle, Kentucky",-84.31698411680097,37.347042
MT,US.MT.CB,USA,USA-MT-30009,County,30009,Red Lodge,US,"Carbon, Montana",-109.1439112972869,45.319385999999994
AL,US.AL.CL,USA,USA-AL-01033,County,01033,Tuscumbia,US,"Colbert, Alabama",-87.60946837533649,34.735011
AK,US.AK.BE,USA,USA-AK-02050,County,02050,Bethel,US,"Bethel, Alaska",-162.26635457618642,60.416188
AZ,US.AZ.GI,USA,USA-AZ-04007,County,04007,Globe,US,"Gila, Arizona",-110.68598367282081,33.7440855
AR,US.AR.DA,USA,USA-AR-05039,County,05039,Fordyce,US,"Dallas, Arkansas",-92.71607657170514,33.9787215
CA,US.CA.DE,USA,USA-CA-06015,County,06015,Crescent City,US,"Del Norte, California",-123.90824323605065,41.681451
CO,US.CO.FR,USA,USA-CO-08043,County,08043,Canon City,US,"Fremont, Colorado",-105.45786476241705,38.475018
CO,US.CO.RT,USA,USA-CO-08107,County,08107,Steamboat Springs,US,"Routt, Colorado",-107.04256266417464,40.458394999999996
FL,US.FL.CA,USA,USA-FL-12013,County,12013,Blountstown,US,"Calhoun, Florida",-85.2041115254166,30.406958500000002
FL,US.FL.LK,USA,USA-FL-12069,County,12069,Tavares,US,"Lake, Florida",-81.6853663909161,28.8052205
FL,US.FL.PI,USA,USA-FL-12103,County,12103,Clearwater,US,"Pinellas, Florida",-82.73702427889056,27.883555
FL,US.FL.WK,USA,USA-FL-12129,County,12129,Crawfordville,US,"Wakulla, Florida",-84.37177129875468,30.148699999999998
GA,US.GA.BE,USA,USA-GA-13033,County,13033,Waynesboro,US,"Burke, Georgia",-81.92490480915733,33.049984
ID,US.ID.AM,USA,USA-ID-16003,County,16003,Council,US,"Adams, Idaho",-116.5439108437151,44.859315499999994
ID,US.ID.CE,USA,USA-ID-16035,County,16035,Orofino,US,"Clearwater, Idaho",-115.74832698872856,46.5641595
IL,US.IL.PL,USA,USA-IL-17153,County,17153,Mound City,US,"Pulaski, Illinois",-89.14992503089158,37.2058715
IN,US.IN.JC,USA,USA-IN-18071,County,18071,Brownstown,US,"Jackson, Indiana",-86.0374461154198,38.899189
IN,US.IN.NO,USA,USA-IN-18113,County,18113,Albion,US,"Noble, Indiana",-85.42279346254475,41.3660485
KY,US.KY.AL,USA,USA-KY-21003,County,21003,Scottsville,US,"Allen, Kentucky",-86.21444864333863,36.7856085
KY,US.KY.HO,USA,USA-KY-21107,County,21107,Madisonville,US,"Hopkins, Kentucky",-87.58579619699265,37.33853
KY,US.KY.WH,USA,USA-KY-21235,County,21235,Williamsburg,US,"Whitley, Kentucky",-84.16071314571772,36.770802
GA,US.GA.MG,USA,USA-GA-13215,County,13215,Columbus,US,"Muscogee, Georgia",-84.86800564084362,32.4804995
GA,US.GA.TB,USA,USA-GA-13263,County,13263,Talbotton,US,"Talbot, Georgia",-84.52086821658975,32.6934575
GA,US.GA.WR,USA,USA-GA-13301,County,13301,Warrenton,US,"Warren, Georgia",-82.70407836610835,33.434683
ID,US.ID.BL,USA,USA-ID-16013,County,16013,Hailey,US,"Blaine, Idaho",-113.87828898570666,43.3048855
ID,US.ID.CS,USA,USA-ID-16031,County,16031,Burley,US,"Cassia, Idaho",-113.64306251838536,42.3723035
IL,US.IL.MS,USA,USA-IL-17125,County,17125,Havana,US,"Mason, Illinois",-89.8579979559275,40.2475795
IN,US.IN.BE,USA,USA-IN-18007,County,18007,Fowler,US,"Benton, Indiana",-87.31154561332869,40.649718
IN,US.IN.GI,USA,USA-IN-18051,County,18051,Princeton,US,"Gibson, Indiana",-87.56538399627044,38.355027500000006
KS,US.KS.HG,USA,USA-KS-20083,County,20083,Jetmore,US,"Hodgeman, Kansas",-99.89848675460432,38.174754500000006
KS,US.KS.WH,USA,USA-KS-20203,County,20203,Leoti,US,"Wichita, Kansas",-101.34709637219115,38.482089
KY,US.KY.GR,USA,USA-KY-21079,County,21079,Lancaster,US,"Garrard, Kentucky",-84.54163208012466,37.6484235
KY,US.KY.LR,USA,USA-KY-21123,County,21123,Hodgenville,US,"Larue, Kentucky",-85.71066948236431,37.582260500000004
KY,US.KY.SC,USA,USA-KY-21209,County,21209,Georgetown,US,"Scott, Kentucky",-84.5866369929183,38.295012
LA,US.LA.MA,USA,USA-LA-22065,County,22065,Tallulah,US,"Madison, Louisiana",-91.23612839992023,32.3850895
LA,US.LA.TA,USA,USA-LA-22105,County,22105,Amite,US,"Tangipahoa, Louisiana",-90.40717492955304,30.6096655
ME,US.ME.SO,USA,USA-ME-23025,County,23025,Skowhegan,US,"Somerset, Maine",-70.12388843811291,45.576296
MD,US.MD.SA,USA,USA-MD-24037,County,24037,Leonardtown,US,"Saint Mary's, Maryland",-76.6003044375966,38.268758500000004
MO,US.MO.WO,USA,USA-MO-29227,County,29227,Grant City,US,"Worth, Missouri",-94.43193394233673,40.521669
MT,US.MT.JE,USA,USA-MT-30043,County,30043,Boulder,US,"Jefferson, Montana",-112.15014205643584,46.159549999999996
MT,US.MT.RA,USA,USA-MT-30081,County,30081,Hamilton,US,"Ravalli, Montana",-114.1379788089831,46.057443
NH,US.NH.GR,USA,USA-NH-33009,County,33009,Woodsville,US,"Grafton, New Hampshire",-71.74510002951487,43.9809965
NJ,US.NJ.MR,USA,USA-NJ-34027,County,34027,Morristown,US,"Morris, New Jersey",-74.56502702903225,40.866638
NY,US.NY.OS,USA,USA-NY-36075,County,36075,Oswego,US,"Oswego, New York",-76.21418272058159,43.4334651326446
NC,US.NC.PN,USA,USA-NC-37145,County,37145,Roxboro,US,"Person, North Carolina",-78.97246501694207,36.391915
NC,US.NC.WE,USA,USA-NC-37193,County,37193,Wilkesboro,US,"Wilkes, North Carolina",-81.16977992308583,36.21806599999999
OH,US.OH.CH,USA,USA-OH-39021,County,39021,Urbana,US,"Champaign, Ohio",-83.76350905642957,40.1477065
OK,US.OK.TI,USA,USA-OK-40141,County,40141,Frederick,US,"Tillman, Oklahoma",-98.93898614608376,34.381389
OR,US.OR.JE,USA,USA-OR-41031,County,41031,Madras,US,"Jefferson, Oregon",-121.09366076383924,44.605090000000004
OR,US.OR.MR,USA,USA-OR-41047,County,41047,Salem,US,"Marion, Oregon",-122.80750196216152,44.984975000000006
SC,US.SC.CT,USA,USA-SC-45029,County,45029,Walterboro,US,"Colleton, South Carolina",-80.6502522321421,32.8234735
SC,US.SC.NE,USA,USA-SC-45071,County,45071,Newberry,US,"Newberry, South Carolina",-81.61940771331211,34.305508
SD,US.SD.LY,USA,USA-SD-46085,County,46085,Kennebec,US,"Lyman, South Dakota",-99.83992310936009,43.8529645
TN,US.TN.GA,USA,USA-TN-47057,County,47057,Rutledge,US,"Grainger, Tennessee",-83.54983143603351,36.252282
TN,US.TN.RA,USA,USA-TN-47145,County,47145,Kingston,US,"Roane, Tennessee",-84.54281794422775,35.845504000000005
TN,US.TN.WE,USA,USA-TN-47183,County,47183,Dresden,US,"Weakley, Tennessee",-88.73976664251856,36.307860500000004
TX,US.TX.BZ,USA,USA-TX-48041,County,48041,Bryan,US,"Brazos, Texas",-96.37960682747361,30.6496885
TX,US.TX.CC,USA,USA-TX-48079,County,48079,Morton,US,"Cochran, Texas",-102.8297035900667,33.697637
TX,US.TX.SY,USA,USA-TX-48419,County,48419,Center,US,"Shelby, Texas",-94.12747314900713,31.774358
TX,US.TX.WI,USA,USA-TX-48495,County,48495,Kermit,US,"Winkler, Texas",-103.0630084969431,31.8260765
UT,US.UT.JU,USA,USA-UT-49023,County,49023,Nephi,US,"Juab, Utah",-112.8818995456308,39.6242735
VA,US.VA.BL,USA,USA-VA-51021,County,51021,Bland,US,"Bland, Virginia",-81.08855688503857,37.132256
VA,US.VA.LA,USA,USA-VA-51103,County,51103,Lancaster,US,"Lancaster, Virginia",-76.46454247372417,37.723845
VA,US.VA.RP,USA,USA-VA-51157,County,51157,Washington,US,"Rappahannock, Virginia",-78.12948630354111,38.692727500000004
WA,US.WA.FE,USA,USA-WA-53019,County,53019,Republic,US,"Ferry, Washington",-118.52322669889946,48.424494499999994
WA,US.WA.WI,USA,USA-WA-53075,County,53075,Colfax,US,"Whitman, Washington",-117.51897947594763,46.8401805
WV,US.WV.RN,USA,USA-WV-54083,County,54083,Elkins,US,"Randolph, West Virginia",-79.8237681346841,38.763273999999996
WI,US.WI.BF,USA,USA-WI-55011,County,55011,Alma,US,"Buffalo, Wisconsin",-91.72435703970865,44.3016035
