area,city,confirmed,died,cured,confirmedRelative,name,lat,lng
安徽,六安,69,0,69,0,六安市,3730916.998379733,12969575.16402232
湖南,衡阳,48,0,48,0,衡阳市,3111028.303533915,12535431.042420331
湖南,娄底,76,0,76,0,娄底市,3214740.995476553,12468728.84882425
湖南,湘潭,36,0,36,0,湘潭市,3227523.54870208,12572874.355018854
湖南,永州,44,0,44,0,永州市,3052997.9038623683,12424147.841796547
湖南,常德,82,0,82,0,常德市,3380766.7724844376,12433423.872324077
湖南,张家界,5,0,5,0,张家界市,3391871.3416524786,12298568.546889117
湖南,岳阳,156,1,155,0,岳阳市,3422860.603972573,12593891.808836171
湖南,株洲,80,0,80,0,株洲市,3228288.4095436647,12595993.743461037
湖南,长沙,242,2,240,0,长沙市,3273466.208680776,12577129.765192816
湖南,邵阳,102,1,101,0,邵阳市,3153218.51888986,12408697.920990989
湖南,郴州,39,0,39,0,郴州市,2973538.435310448,12582672.13999966
湖南,怀化,40,0,40,0,怀化市,3192366.934313042,12242721.673436232
湖南,益阳,60,0,60,0,益阳市,3321038.0477901762,12507306.061755834
河南,安阳,53,0,53,0,安阳市,4314864.182067552,12729660.065414999
河南,信阳,274,2,272,0,信阳市,3779503.154519538,12698774.361379214
河南,周口,76,1,75,0,周口市,3977938.452404009,12762740.989808923
河南,开封,26,0,26,0,开封市,4136335.0022353563,12728431.654834269
河南,许昌,39,1,38,0,许昌市,4031884.8721742886,12671059.370399253
河南,濮阳,17,0,17,0,濮阳市,4268777.411070557,12806338.823094074
河南,漯河,36,0,36,0,漯河市,3971990.9135803394,12693361.339820653
河南,郑州,157,5,152,0,郑州市,4131039.3604500326,12653175.782886315
河南,三门峡,7,1,6,0,三门峡市,4133663.2859123996,12378070.47817381
河南,驻马店,139,0,139,0,驻马店市,3892672.025010846,12693175.547590546
河南,南阳,156,3,153,0,南阳市,3895182.1143395007,12527997.683423646
河南,鹤壁,19,0,19,0,鹤壁市,4266034.102837704,12723310.624300016
河南,商丘,91,3,88,0,商丘市,4087639.766203239,12874154.434236916
河南,洛阳,31,1,30,0,洛阳市,4118183.5240325634,12516147.723630348
河南,新乡,57,3,54,0,新乡市,4205081.873145046,12677507.885861026
河南,焦作,32,1,31,0,焦作市,4196413.3602976,12605626.107678546
河南,平顶山,58,1,57,0,平顶山市,3993306.5226376387,12613357.468952043
河南,济源,5,0,5,0,济源市,4176169.9455330516,12533466.698686067
广东,肇庆,19,1,18,0,肇庆市,2638253.4453525343,12520384.654768843
广东,珠海,98,1,97,0,珠海市,2538558.167814291,12640771.897306906
广东,河源,5,0,5,0,河源市,2722519.8567079254,12768100.911970383
广东,佛山,89,0,86,0,佛山市,2635497.285361752,12592763.251838665
广东,清远,12,0,12,0,清远市,2715073.3705455163,12584805.021442961
广东,汕尾,5,0,5,0,汕尾市,2604769.0993461395,12842288.228126362
广东,茂名,14,0,14,0,茂名市,2470722.969162914,12347472.089743722
广东,阳江,14,0,14,0,阳江市,2494631.521825454,12465011.89102718
广东,湛江,22,0,22,0,湛江市,2424687.584793944,12285773.039341155
广东,中山,67,0,67,0,中山市,2574207.174880675,12621670.029286893
广东,惠州,62,0,62,0,惠州市,2641624.0364267374,12736352.259242088
