name,area,popall,popcity,companies,worker,industry_comp,big_comp,xzjd,coords,lng,lat
鹤山市古劳镇,6822,32527.0,9808.0,287.0,25861.0,150.0,26.0,鹤山市古劳镇,POINT (112.9163673523446 22.81848193590513),112.91636735234462,22.818481935905126
鹤山市桃源镇,5547,30631.0,13327.0,593.0,15964.0,219.0,36.0,鹤山市桃源镇,POINT (112.9103435811028 22.7086256819774),112.91034358110277,22.708625681977402
鹤山市鹤城镇,15900,33834.0,9218.0,374.0,26178.0,202.0,50.0,鹤山市鹤城镇,POINT (112.8197622888336 22.63798811334764),112.81976228883359,22.637988113347642
鹤山市共和镇,8993,32100.0,21828.0,588.0,14322.0,256.0,57.0,鹤山市共和镇,POINT (112.896211693475 22.58819396326922),112.89621169347495,22.58819396326922
鹤山市址山镇,9822,46500.0,7203.0,791.0,18665.0,539.0,50.0,鹤山市址山镇,POINT (112.7639060609302 22.54749820849008),112.76390606093018,22.547498208490076
鹤山市宅梧镇,20506,28041.0,4574.0,198.0,4884.0,83.0,7.0,鹤山市宅梧镇,POINT (112.6609829361846 22.66123119976123),112.66098293618462,22.66123119976123
鹤山市双合镇,12346,16330.0,2260.0,196.0,4120.0,96.0,9.0,鹤山市双合镇,POINT (112.5398020353418 22.64254393227839),112.5398020353418,22.642543932278393
恩平市横陂镇,20173,22726.0,5836.0,32.0,4327.0,17.0,7.0,恩平市横陂镇,POINT (112.3265844654973 22.02716032844057),112.32658446549729,22.027160328440573
恩平市圣堂镇,5665,21985.0,3762.0,42.0,1306.0,26.0,4.0,恩平市圣堂镇,POINT (112.3709020004338 22.28533100773461),112.37090200043377,22.285331007734612
恩平市良西镇,12175,22961.0,2071.0,59.0,325.0,4.0,2.0,恩平市良西镇,POINT (112.3107477046525 22.31817347944741),112.31074770465248,22.31817347944741
恩平市沙湖镇,16486,50347.0,8685.0,181.0,9300.0,21.0,16.0,恩平市沙湖镇,POINT (112.4382626605153 22.40797439798248),112.4382626605153,22.407974397982482
恩平市牛江镇,9100,20292.0,1809.0,730.0,4430.0,294.0,4.0,恩平市牛江镇,POINT (112.3228737639821 22.3875403680645),112.32287376398206,22.387540368064496
恩平市君堂镇,10060,46335.0,9312.0,43.0,700.0,25.0,1.0,恩平市君堂镇,POINT (112.4398960491626 22.2901001709076),112.43989604916256,22.2901001709076
恩平市大田镇,20236,24202.0,855.0,49.0,730.0,19.0,,恩平市大田镇,POINT (112.1644572966056 22.27738624372278),112.16445729660558,22.277386243722777
恩平市那吉镇,26000,12563.0,2318.0,20.0,1481.0,18.0,2.0,恩平市那吉镇,POINT (112.1121733219805 22.16234505869561),112.11217332198049,22.162345058695607
恩平市大槐镇,12200,17618.0,3879.0,384.0,6619.0,46.0,11.0,恩平市大槐镇,POINT (112.2421228982613 22.09087401459885),112.24212289826127,22.09087401459885
恩平市东成镇,11297,25702.0,1381.0,252.0,2614.0,97.0,5.0,恩平市东成镇,POINT (112.3740709872356 22.18810881990346),112.37407098723561,22.18810881990346
坡头区南三镇,16463,78861.0,4561.0,124.0,621.0,4.0,,坡头区南三镇,POINT (110.5367614245043 21.15962253281763),110.53676142450432,21.159622532817625
坡头区坡头镇,8906,68789.0,7578.0,73.0,3358.0,30.0,11.0,坡头区坡头镇,POINT (110.5251850551485 21.25314478484622),110.52518505514846,21.253144784846217
坡头区乾塘镇,4889,38356.0,1942.0,2.0,20.0,2.0,,坡头区乾塘镇,POINT (110.6053346146815 21.25170100351887),110.60533461468154,21.25170100351887
坡头区龙头镇,11339,63734.0,9301.0,1354.0,5768.0,188.0,14.0,坡头区龙头镇,POINT (110.490590678746 21.34323745390481),110.49059067874603,21.343237453904813
坡头区官渡镇,9505,62255.0,4358.0,84.0,9513.0,75.0,29.0,坡头区官渡镇,POINT (110.4478570859199 21.39759552213802),110.44785708591994,21.397595522138015
麻章区麻章镇,13444,106797.0,48992.0,1526.0,28594.0,298.0,58.0,麻章区麻章镇,POINT (110.2827105902537 21.24533668453905),110.28271059025369,21.245336684539048
麻章区太平镇,12135,86530.0,25671.0,85.0,3651.0,21.0,5.0,麻章区太平镇,POINT (110.1655068094484 21.05926550025421),110.16550680944839,21.059265500254213
麻章区湖光镇,15242,74905.0,5688.0,129.0,1159.0,20.0,3.0,麻章区湖光镇,POINT (110.271247500695 21.11847605005886),110.27124750069503,21.11847605005886
麻章区硇洲镇,5600,45383.0,13547.0,26.0,210.0,4.0,,麻章区硇洲镇,POINT (110.5914102692678 20.90609421871608),110.59141026926783,20.906094218716078
遂溪县遂城镇,26500,262136.0,163254.0,1569.0,27578.0,289.0,36.0,遂溪县遂城镇,POINT (110.23641747957 21.40708654417114),110.23641747956998,21.407086544171136
遂溪县黄略镇,14900,84363.0,7058.0,386.0,5038.0,386.0,14.0,遂溪县黄略镇,POINT (110.3355834398105 21.35291817323785),110.33558343981046,21.352918173237853
遂溪县洋青镇,16833,79761.0,6798.0,108.0,931.0,43.0,13.0,遂溪县洋青镇,POINT (110.1088118568628 21.37848609411406),110.10881185686277,21.37848609411406
遂溪县界炮镇,13297,63643.0,8908.0,125.0,3556.0,13.0,1.0,遂溪县界炮镇,POINT (109.9631308568914 21.38858539134493),109.96313085689141,21.388585391344932
遂溪县乐民镇,9650,39448.0,5527.0,25.0,165.0,15.0,,遂溪县乐民镇,POINT (109.7356579954721 21.138204839352),109.73565799547212,21.138204839352
遂溪县江洪镇,5948,32135.0,12274.0,70.0,453.0,15.0,1.0,遂溪县江洪镇,POINT (109.7066763649387 21.05742716895463),109.70667636493866,21.057427168954632
遂溪县杨柑镇,18710,94961.0,10762.0,214.0,1640.0,19.0,3.0,遂溪县杨柑镇,POINT (109.9268755873185 21.3132166441777),109.92687558731846,21.313216644177704
遂溪县城月镇,20909,92608.0,36163.0,209.0,2721.0,37.0,11.0,遂溪县城月镇,POINT (110.0820660842781 21.13976954089414),110.08206608427808,21.139769540894143
遂溪县乌塘镇,4970,17152.0,2073.0,5.0,245.0,5.0,4.0,遂溪县乌塘镇,POINT (110.0119454346744 21.26049674986605),110.01194543467443,21.26049674986605
遂溪县建新镇,5743,19612.0,1357.0,3.0,159.0,3.0,3.0,遂溪县建新镇,POINT (110.1829526000959 21.1509264890326),110.18295260009587,21.150926489032596
遂溪县岭北镇,10906,24086.0,13352.0,96.0,3781.0,68.0,21.0,遂溪县岭北镇,POINT (110.1646725657751 21.25549991580117),110.16467256577512,21.255499915801167
遂溪县北坡镇,16400,30145.0,10950.0,135.0,1295.0,24.0,4.0,遂溪县北坡镇,POINT (109.90813651357 21.20577162393798),109.90813651356999,21.205771623937984
遂溪县港门镇,9800,40289.0,7125.0,12.0,168.0,2.0,2.0,遂溪县港门镇,POINT (109.8037310233035 21.21221440196268),109.80373102330353,21.212214401962676
遂溪县草潭镇,12275,68373.0,7236.0,30.0,3312.0,12.0,4.0,遂溪县草潭镇,POINT (109.8001203635493 21.30545802956356),109.80012036354933,21.305458029563564
遂溪县河头镇,14400,34035.0,10616.0,96.0,2325.0,40.0,1.0,遂溪县河头镇,POINT (109.8114375589857 21.08402557547118),109.8114375589857,21.084025575471177
徐闻县迈陈镇,12300,74725.0,9153.0,40.0,762.0,20.0,,徐闻县迈陈镇,POINT (110.0020406210896 20.34383216624747),110.00204062108962,20.343832166247473
徐闻县海安镇,3685,25925.0,7046.0,131.0,1962.0,67.0,,徐闻县海安镇,POINT (110.228167740175 20.27759092496168),110.228167740175,20.277590924961682
徐闻县曲界镇,15593,44612.0,13502.0,37.0,890.0,37.0,1.0,徐闻县曲界镇,POINT (110.3382861099395 20.46913378838356),110.33828610993949,20.469133788383562
徐闻县前山镇,11522,33012.0,3573.0,14.0,300.0,9.0,3.0,徐闻县前山镇,POINT (110.4604233406652 20.41014043611303),110.46042334066524,20.41014043611303
徐闻县西连镇,8100,42522.0,3262.0,18.0,218.0,18.0,,徐闻县西连镇,POINT (109.919414474362 20.38972763872306),109.91941447436199,20.38972763872306
徐闻县下桥镇,15025,42237.0,5681.0,18.0,1180.0,12.0,4.0,徐闻县下桥镇,POINT (110.1585108115617 20.47386760465874),110.15851081156173,20.473867604658736
徐闻县龙塘镇,18405,59252.0,5977.0,20.0,432.0,6.0,,徐闻县龙塘镇,POINT (110.3445480191944 20.32795431200483),110.3445480191944,20.327954312004827
徐闻县下洋镇,7500,30763.0,3360.0,19.0,187.0,1.0,1.0,徐闻县下洋镇,POINT (110.4854388234558 20.49606182990667),110.48543882345578,20.496061829906665
徐闻县锦和镇,11169,37967.0,7538.0,83.0,756.0,12.0,1.0,徐闻县锦和镇,POINT (110.4147630618382 20.55884581651812),110.4147630618382,20.558845816518115
徐闻县和安镇,5888,31797.0,6150.0,99.0,841.0,13.0,1.0,徐闻县和安镇,POINT (110.3659443800552 20.64324665757323),110.36594438005518,20.64324665757323
徐闻县新寮镇,8595,29280.0,5572.0,3.0,170.0,3.0,1.0,徐闻县新寮镇,POINT (110.4349856199864 20.62181160211116),110.43498561998638,20.621811602111162
徐闻县南山镇,13537,78253.0,3121.0,149.0,440.0,46.0,4.0,徐闻县南山镇,POINT (110.1530513767002 20.29080660096795),110.15305137670016,20.29080660096795
徐闻县城北乡,12500,39026.0,,48.0,367.0,7.0,3.0,徐闻县城北乡,POINT (110.1079281038192 20.36904437033634),110.1079281038192,20.36904437033634
徐闻县角尾乡,5020,27213.0,3880.0,3.0,338.0,3.0,3.0,徐闻县角尾乡,POINT (109.9428686593725 20.26841821410303),109.94286865937246,20.268418214103033
廉江市石城镇,12700,74327.0,6000.0,200.0,5177.0,175.0,11.0,廉江市石城镇,POINT (110.319161865645 21.57689646478175),110.31916186564504,21.57689646478175
廉江市新民镇,10200,44957.0,2566.0,238.0,2861.0,188.0,9.0,廉江市新民镇,POINT (110.2106188461694 21.55141229594912),110.2106188461694,21.551412295949124
廉江市吉水镇,11100,77249.0,3245.0,272.0,13862.0,251.0,65.0,廉江市吉水镇,POINT (110.2234667645318 21.67442726312821),110.22346676453178,21.674427263128205
廉江市河唇镇,16002,84186.0,15822.0,108.0,2298.0,88.0,8.0,廉江市河唇镇,POINT (110.2996217647004 21.73802861393849),110.29962176470039,21.738028613938493
廉江市石角镇,16400,49128.0,4125.0,332.0,1600.0,10.0,,廉江市石角镇,POINT (110.3095085066208 21.86208221006463),110.30950850662076,21.86208221006463
廉江市良垌镇,28900,113276.0,7325.0,118.0,2729.0,72.0,5.0,廉江市良垌镇,POINT (110.3970906281286 21.50537762865347),110.39709062812862,21.50537762865347
